id,name,faction_id,source_id,legend,role,loadout,transport,virtual,leader_head,leader_footer,damaged_w,damaged_description,link
1,Warboss,ORK,46,"A towering slab of muscle, fangs and bad attitude, the Warboss leads the charge from the very front. With klaw, fist and dakka the green behemoth bulldozes a bloody path through the enemy. Meanwhile, his window-rattling war cry and weapons-grade glower motivate his ladz to ever more gratuitous violence.",Characters,<b>This model is equipped with:</b> kombi-weapon; twin slugga; big choppa.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Warboss
2,Warboss In Mega Armour,ORK,46,"Any good Ork hunter knows the safest way to deal with a rampaging Warboss is to hit them with tank-busting artillery from as far away as possible. By donning a piston-driven suit of incredibly durable mega armour, the Warboss makes a mockery of such underhanded enemy tactics, much to the terror of his foes.",Characters,<b>This model is equipped with:</b> big shoota; ’uge choppa.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Warboss-In-Mega-Armour
3,Warboss On Warbike,ORK,243,"Some Ork Warbosses choose to ride into battle astride massive smoke-belching warbikes. Not only does such a rocket-propelled mode of transport deliver them into the enemy battle lines with remarkable speed and violence, but it also furnishes them with a great deal of loud, flashy dakka to unleash on the way into the fight.",Characters,<b>This model is equipped with:</b> twin dakkagun; killsaw.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Warboss-On-Warbike
4,Weirdboy,ORK,46,"Weirdboyz channel the Waaagh! energy that builds up around battling Orks, unleashing it before it causes their heads to literally explode. This they do with gusto, whether vomiting blasts of devastating green ectoplasm at the enemy or teleporting Orks madly about the place.",Characters,<b>This model is equipped with:</b> ’Eadbanger; weirdboy staff.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Weirdboy
6,Big Mek In Mega Armour,ORK,46,"For all that its weight is akin to wearing half a tank, mega armour is incredibly resilient. Big Meks often build and wear it, adding unstable kustom weaponry, force field projectors, crushing klaws or even tellyport blastas that kill victims by beaming their component parts across a wide area, much to the Orks’ amusement.",Characters,<b>This model is equipped with:</b> kustom-mega blaster; power klaw.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Big-Mek-In-Mega-Armour
7,Big Mek On Warbike,ORK,243,,Characters,<b>This model is equipped with:</b> slugga; twin dakkagun; choppa; close combat weapon.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Big-Mek-On-Warbike
8,Ghazghkull Thraka,ORK,46,"To face Ghazghkull Thraka in battle is to die. Messily. He is a totemic war leader of great kunnin’ and terrifying presence who enjoys the personal protection of the Ork gods, not that he seems to need it! Makari bears aloft the personal Waaagh! banner of Ghazghkull. There isn’t a greenskin living who doesn’t fight harder in sight of that flag.",Characters,<b>Ghazghkull Thraka is equipped with:</b> Mork’s Roar; Gork’s Klaw. <br><br><b>Makari is equipped with:</b> Makari’s stabba.,,FALSE,,"<i>If this unit’s <a href=""/wh40k10ed/the-rules/core-rules/#Attached-Units"">Bodyguard</a> unit is destroyed, Ghazkghull Thraka and Makari become a single unit with their original <a href=""/wh40k10ed/the-rules/core-rules/#Starting-Strength"">Starting Strength</a>.</i>",,,https://wahapedia.ru/wh40k10ed/factions/orks/Ghazghkull-Thraka
9,Kaptin Badrukk,ORK,243,"Kaptin Badrukk’s Goldtoof Armour is proof against anything the galaxy can throw at him. This is fortunate considering the levels of radiation that emanate from his pride and joy, Da Rippa. This kustom shoota fires unstable plasma shells that reduce Badrukk’s foes to glowing ash, at least until it malfunctions explosively.",Characters,<b>This model is equipped with:</b> slugga; choppa; Da Rippa.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Kaptin-Badrukk
10,Boss Zagstruk,ORK,243,"Plummeting from his kustom fighta-bommer at the head of his infamous Vulcha Boyz, Boss Zagstruk hits the enemy like a four hundred pound rocket-propelled missile of pure, belligerent fury. Amidst the roar of his blitz missiles and the crunch of bone beneath his cybork foot-klaws, bloody havoc ensues.",Characters,<b>This model is equipped with:</b> Da Vulcha’s Klaws and choppa; slugga.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Boss-Zagstruk
11,Boss Snikrot,ORK,46,"Boss Snikrot is a murderous ghost whose obsession with kommando warfare has seen him transcend the cunning of his fellow Blood Axes and achieve instead something nigh supernatural. By the time his terrified foes realise he is upon them, the Boss is already opening their throats with his rip-toothed blades.",Characters,<b>This model is equipped with:</b> slugga; Mork’s Teeth.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Boss-Snikrot
12,Mek,ORK,46,"Any Mekboy worth his spanners knows how to patch and repair greenskin vehicles, artillery pieces and the like even amidst the fury of combat. Meks are also handy for a spot of good old-fashioned dakka and close-quarters violence, taking to the field armed to the teeth with kustom weaponry that they invented themselves.",Characters,<b>This model is equipped with:</b> kustom mega-slugga; wrench.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Mek
13,Painboy,ORK,46,"The traditional tools of the Painboy help them to patch up even the most mangled Orks and send them back into the fight. Helpfully, all these gruesome surgical klaws, rippy saws and fat syringes also serve as an expedient means of dismembering the enemy with – if not surgical precision – at least a great deal of enthusiasm!",Characters,<b>This model is equipped with:</b> power klaw; ’urty syringe.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Painboy
14,Painboy On Warbike,ORK,243,,Characters,<b>This model is equipped with:</b> twin dakkagun; power klaw; 'urty syringe.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Painboy-On-Warbike
15,Mad Dok Grotsnik,ORK,243,"More so even than whatever passes for a ‘normal’ Painboy, Dok Grotsnik relishes the butchery of the battlefield. He is quite, quite mad and remarkably dangerous, treating each new war as an opportunity for experimentation, a chance to harvest new samples to add to his stockpile of gory anatomical spares.",Characters,<b>This model is equipped with:</b> slugga; power klaw; ’urty syringe.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Mad-Dok-Grotsnik
16,Boyz,ORK,46,"Ork Boyz surge into battle in huge, unruly mobs dotted with crude special weapons and led by foul-tempered Boss Nobz. Most simply stampede towards the enemy lines, relying on their numbers and natural hardiness to carry the charge home, while others hitch a ride on Trukks and Battlewagons so as to get stuck in all the faster.",Battleline,<b>The Boss Nob is equipped with:</b> slugga; big choppa. <br><br><b>Every Boy is equipped with:</b> slugga; choppa.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Boyz
17,Gretchin,ORK,46,"What Gretchin – also called grots – lack in stature, courage, resilience, discipline, motivation, loyalty, aggression and personal hygiene, they allegedly make up for in numbers. They are at least reasonable shots with their underpowered firearms, and if all else fails, the Orks find that grots make excellent bullet-stops.",Other,<b>Every Runtherd is equipped with:</b> slugga; Runtherd tools. <br><br><b>Every Gretchin is equipped with:</b> grot blasta; close combat weapon.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Gretchin
19,Burna Boyz,ORK,46,"The burna is a cutting torch intended for slicing up battlefield wreckage. Serendipitously, it also works well when searing through an enemy’s armour at close quarters, or, with a twist of its nozzle, can instead belch a tongue of roaring flame over the foe. Needless to say, the most pyromaniacally inclined Orks delight in doing both.",Other,<b>Every Spanner is equipped with:</b> close combat weapon; big shoota. <br><br><b>Every Burna Boy is equipped with:</b> burna; cuttin’ flames.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Burna-Boyz
20,Tankbustas,ORK,306,"Tankbustas fixate on blasting enemy vehicles into scrap using barrages of rokkits that detonate in deafening explosions. They wield varied, cobbled-together launchas, and are laden with an arsenal of explosive projectiles, whose dubious reliability is made up for by the Tankbustas’ enthusiasm.",Other,<b>The Boss Nob is equipped with:</b> 2 rokkit pistols; choppa.<br><br><b>Each Tankbusta is equipped with:</b> rokkit launcha; close combat weapon.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Tankbustas
21,Nobz,ORK,46,"Nobz swagger into battle wielding a jaw-dropping assortment of kombi-weapons, favourite sluggas, very large choppas, piston-driven klaws and any other instrument of gratuitous violence they can get their claws on. Coupled with their exceptional resilience and sheer belligerence, this renders them terrifying combatants indeed.",Other,<b>Every model is equipped with:</b> slugga; big choppa.,,FALSE,,,,,https://wahapedia.ru/wh40k10ed/factions/orks/Nobz
